id,business_name,category,city,address,phone_primary,whatsapp_likely,email,website,website_status,offer_fit,priority,why_contact,source,suggested_msg
S06,Royal Edward Montessori (Haripur Diamond),School,Haripur,"Circular Road, Near TMA Water Tank, Haripur",0995-612229,0333-0554984,daimondhrp@royaledward.edu.pk,https://royaledward.edu.pk,Has website — 5000+ students need LMS,Multi-campus LMS + parent portal,High,5+ campuses Haripur/Abbottabad; high LMS value,royaledward.edu.pk,school
S07,Royal Edward Montessori (Kangra Gold),School,Haripur,"Main Hattar Road, Kangra Colony, Haripur",0334-5731961,0334-5731961,jhangicampus@royaledward.edu.pk,https://royaledward.edu.pk,Same group,Campus-level portal,High,Campus mobile likely admin/owner side,royaledward.edu.pk,school
S08,Royal Edward Montessori (Abbottabad Diamond),School,Abbottabad,"PMA Link Road, Near check post, Abbottabad",0335-5444881,0335-5444881,daimond.atd@royaledward.edu.pk,https://royaledward.edu.pk,Same group,LMS upsell,Medium,Abbottabad campus,royaledward.edu.pk,school
S09,VIRSA Institute of Professional Training,Academy / LMS,Haripur,"Circular Road, Haripur, KPK",0336-5294184,0336-5294184,contact@virsainstitutehrp.edu.pk,https://www.virsainstitutehrp.edu.pk,Has site + certificate verify — needs full LMS,Course LMS + student login + online classes,High,Training institute; WhatsApp admissions; LMS is exact fit,virsainstitutehrp.edu.pk,school
M01,Noor Surgical Hospital,Hospital,Haripur,"GT Road, near D-Stop, Haripur",0995-611748,0308-0951826,info@noorsurgical.com,https://noorsurgical.com,Basic site often weak/down; needs patient portal,Hospital website rebuild + appointment portal,High,40+ years; emergency hospital; site is weak,noorsurgical.com / Marham,clinic
M02,Yahya Welfare Complex Hospital,Hospital,Haripur,"Near D-Stop, Main GT Road, Haripur 22620",0995-627516,0995-627516,,https://yahyahospital.com.pk,Has site — appointment portal can be stronger,Appointments + reports + patient portal,Medium,Busy GT Road hospital,yahyahospital.com.pk,clinic
M03,Haripur International Hospital,Hospital,Haripur,"Tarbela, Gheel Road, Haripur, KPK",0995-628375,0995-628375,appointments@haripurinternational.com,https://haripurinternational.com,Has site — portal/appointments can grow,Doctor booking + patient portal,Medium,General hospital; wants online appointments,haripurinternational.com,clinic
L01,The Legal Nexus (Haripur office),Law firm,Haripur,"Office # 7, Rai Ama Road, Main Bazar, Haripur",0336-5001100,0995-615864,waheed@thelegalnexus.com,http://thelegalnexus.com,Has basic WordPress site,Lawyer website upgrade + client case portal,High,Named contact Waheed; local Haripur office,thelegalnexus.com,law
L02,The Legal Nexus (Islamabad office),Law firm,Islamabad,"Apartment 21, 3rd floor, Executive Business Center / Allied Bank Plaza, E-11/2 FECHS, Islamabad",0336-5001100,0336-5001100,waheed@thelegalnexus.com,http://thelegalnexus.com,Same firm,Client portal + Islamabad landing,Medium,Same owner/contact,thelegalnexus.com,law
L03,Waqar & Waqar Law Associates,Law firm,Islamabad,"House # 16, Ataturk Ave, G-6/4, Islamabad",0333-8923729,0333-8923729,waqarahmedasc@gmail.com,https://waqarandwaqar.com,Has website — can add client portal,Client case portal + SEO,Medium,Named partner-style mobile,waqarandwaqar.com,law
L04,Waqar & Waqar Law Associates (Rawalpindi),Law firm,Rawalpindi,"Main Six Road, Rawalpindi",0300-5289488,0300-5289488,waqarahmedasc@gmail.com,https://waqarandwaqar.com,Same firm,Same offer,Medium,Second office mobile,waqarandwaqar.com,law
L05,Sardar Sadozai Law Associates,Law firm,Islamabad,"Musawaat Building, St 28-B, Sector G-7/1, Islamabad",0345-5541058,0345-5541058,,https://sslapk.com,Has website — dated; portal/SEO opportunity,Website rebuild + client intake portal,Medium,Multi-city practice; phone-first contact,sslapk.com,law
L06,Asad Saeed Khan Advocate (DBA President Haripur),Law practice,Haripur,"District Bar Association / New Judicial Complex, Haripur",0335-6269600,0335-6269600,,,No firm website found,Professional lawyer website + WhatsApp intake,High,Bar President; high-visibility practice; number from public bar list,districtcourtsharipur.net.pk,law
L07,Abdul Waheed Azhar Advocate,Law practice,Haripur,New Judicial Complex / District Bar Haripur,0300-9112544,0300-9112544,,,No firm website found,Lawyer website + client portal,High,Practice since 1980; public bar mobile,districtcourtsharipur.net.pk,law
L08,Alia Zeb Advocate,Law practice,Haripur,District Bar Haripur,0333-5422561,0995-653222,,,No firm website found,Lawyer website,High,Has landline + mobile — more established chamber,districtcourtsharipur.net.pk,law
L09,Fida Muhammad Tanoli Advocate,Law practice,Haripur,District Bar / Judicial Complex Haripur,0300-5218868,0300-5218868,,,No firm website found,Lawyer website + case inquiry form,High,High Court practice; public bar mobile,districtcourtsharipur.net.pk,law
T01,Italian Mall Haripur,Retail,Haripur,"N-35, Pandak, Haripur",0995-627557,0995-627557,hr@imall.com.pk,https://italianmallofficial.com,Has site — e-commerce can grow,Store site + WhatsApp catalogue / e-commerce,Low,Retail chain already online; only if they want e-commerce,italianmallofficial.com,retail
T02,Italian Mall Abbottabad,Retail,Abbottabad,"N-35 Mansehra Road, Abbottabad",0992-339500,0992-339500,hr@imall.com.pk,https://italianmallofficial.com,Same group,E-commerce / local landing,Low,Same chain,italianmallofficial.com,retail
